family,species,plant,LM,SEM,TEM
Caprifoliaceae,Abelia grandiflora,[],"['2015484', '2015485']",[],[]
Oleaceae,Abeliophyllum distichum,['1017133'],[],"['1017134', '1017135', '1017136']",[]
Pinaceae,Abies cephalonica,['1011649'],[],"['1011650', '1011651', '1011652']",[]
Pinaceae,Abies concolor,['1209573'],[],"['1209565', '1209567', '1209569']",[]
Pinaceae,Abies nordmanniana,['1016888'],"['2010870', '2010871']","['1016889', '1016891', '1016890']",[]
Malvaceae,Abutilon theophrasti,['2002719'],"['2012271', '2012272']","['2002727', '2002724', '2002721']",[]
Malvaceae,Callianthe megapotamica,[],"['2016672', '2016673']",[],[]
Fabaceae,Acacia binervia,['1016488'],[],"['1016489', '1016490', '1016491']",[]
Fabaceae,Acacia dealbata,['2003008'],[],"['2003014', '2003013', '2003015']",[]
Fabaceae,Acacia erioloba,[],"['2016102', '2016103']",[],[]
Fabaceae,Acacia heteroclith,['1020318'],[],"['1020319', '1020320', '1020321']",[]
Fabaceae,Acacia karroo,['1018224'],"['2016423', '2016424']","['1018225', '1018226', '1018227']",[]
Fabaceae,Acacia myrtifolia,[],[],"['1016785', '1016786', '1016787']",[]
Fabaceae,Acacia ornata,[],[],"['1010822', '1010823', '1010824']",[]
Fabaceae,Acacia raddiana,[],"['2017626', '2017627']",[],[]
Fabaceae,Acacia rigens,[],"['2016462', '2016463']",[],[]
Fabaceae,Acacia seyal,[],"['2016294', '2016295']",[],[]
Fabaceae,Acacia verticillata,['1010478'],[],"['1010480', '1010481', '1010482']",[]
Rosaceae,Acaena magellanica,[],"['2016738', '2016739']",[],[]
Rosaceae,Acaena microphylla,[],[],"['1020217', '1020218', '1020219']",[]
Euphorbiaceae,Acalypha macrostachya,['2004262'],[],"['2004273', '2004275', '2004266']",[]
Plumbaginaceae,Acantholimon glumaceum,[],[],"['1015131', '1015132', '1015133']",[]
Araliaceae,Acanthopanax gracilistylus,[],"['2015784', '2015785']",[],[]
Bromeliaceae,Acanthostachys pitcairnioides,[],[],"['2005205', '2005199', '2005200']",[]
Bromeliaceae,Acanthostachys strobilacea,[],[],"['2001183', '2001184', '2001186']",[]
Acanthaceae,Acanthus hungaricus,[],"['2014873', '2014874']",[],[]
Acanthaceae,Acanthus longifolius,['1012336'],[],"['1012337', '1012338', '1012339']",[]
Acanthaceae,Acanthus mollis,[],"['2013234', '2013235']",[],[]
Acanthaceae,Acanthus montanus,[],"['2015601', '2015602']",[],[]
